param,value,type,Appendix.Section,source,relevant.calibration.target,geography,definition
chla.asympt.tx.prob_2,0.95,numeric,10,,,,Probability of treatment for asymptomatic chlamydia for Hispanic MSM.
chla.asympt.tx.prob_3,0.95,numeric,"9.3,9.4",,,,Probability of treatment for asymptomatic chlamydia for White MSM.
syph.prob,0.115,numeric,,,,,Probability of syphilis infection per act given that the infected partner is infectious.
syph.sympt.prob_1,0,numeric,,,,,Probability of syphilis symptomes given infection (exposed).
syph.sympt.prob_2,0.22,numeric,,,,,Probability of syphilis symptomes given infection (primary). prim | sec == 0.4
syph.sympt.prob_3,0.22,numeric,,,,,Probability of syphilis symptomes given infection (secondary).
syph.sympt.prob_4,0.05,numeric,,,,,Probability of syphilis symptomes given infection (early latent).
syph.sympt.prob_5,0,numeric,,,,,Probability of syphilis symptomes given infection (latent).
syph.sympt.prob_6,1,numeric,,,,,Probability of syphilis symptomes given infection (tertiary).
syph.prog.int_1,4,numeric,,,,,Average duration (in weeks) from the incubating to the primary stage of syphilis infection.
syph.prog.int_2,7,numeric,,,,,Average duration (in weeks) from the primary to secondary stage of syphilis infection.
syph.prog.int_3,15,numeric,,,,,Average duration (in weeksl from the secondary to early latent stage of syphilis infection.
syph.prog.int_4,30,numeric,,,,,Average duration (in weeks) from the early to late latent stage of syphilis infection. (prim + sec + early lat = 52)
syph.prog.int_5,520,numeric,,,,,"Mean ADDITIONAL duration (in weeks) in late latency beyond syph.tert.min.dwell before progression to tertiary syphilis. Combined with the 520-week floor this gives an untreated infection-to-tertiary distribution with median about 17 years, bracketing the 10-30 year cardiovascular and 15-20 year gummatous and neurosyphilis onset windows."
syph.prog.int_6,Inf,numeric,,,,,Average duration (in weeks) in the tertiary stage of syphilis infection.
syph.tert.min.dwell,520,numeric,,,,,"Minimum weeks since infection (syph.inf.last) before a late-latent node may progress to tertiary. 520 weeks = 10 years, the lower bound of the cardiovascular-syphilis onset window. Without this floor the late-latent to tertiary transition is memoryless and a node can reach tertiary the week after entering late latency. Set to 0 to restore the previous behaviour."
syph.sympt.tx.prob_1,0.215,numeric,,,,,"Per-time-step probability of treatment initiation while symptomatic (the suffix is RACE, not stage). Geometric hazard matching the median 20 days from symptom onset to treatment across primary and secondary syphilis among 123 MSM (Bissessor 2009 Int J STD AIDS 20:52-6). The previous 0.017 implied a mean of 59 weeks, longer than the entire primary-plus-secondary sojourn, which switched the symptomatic pathway off."
syph.sympt.tx.prob_2,0.215,numeric,,,,,"Per-time-step probability of treatment initiation while symptomatic (the suffix is RACE, not stage). Geometric hazard matching the median 20 days from symptom onset to treatment across primary and secondary syphilis among 123 MSM (Bissessor 2009 Int J STD AIDS 20:52-6). The previous 0.017 implied a mean of 59 weeks, longer than the entire primary-plus-secondary sojourn, which switched the symptomatic pathway off."
syph.sympt.tx.prob_3,0.215,numeric,,,,,"Per-time-step probability of treatment initiation while symptomatic (the suffix is RACE, not stage). Geometric hazard matching the median 20 days from symptom onset to treatment across primary and secondary syphilis among 123 MSM (Bissessor 2009 Int J STD AIDS 20:52-6). The previous 0.017 implied a mean of 59 weeks, longer than the entire primary-plus-secondary sojourn, which switched the symptomatic pathway off."
syph.asympt.tx.prob_1,1,numeric,,,,,Probability of treatment initiation upon diagnosis for asymptomatic syphilis.
syph.asympt.tx.prob_2,1,numeric,,,,,Probability of treatment initiation upon diagnosis for asymptomatic syphilis.
syph.asympt.tx.prob_3,1,numeric,,,,,Probability of treatment initiation upon diagnosis for asymptomatic syphilis.
syph.screen.hivneg.rate,0.008120081,numeric,,,,,Rate per time step for asymptomatic syphilis screening for MSM not diagnosed with HIV and not on PrEP. (TUITE 2020)
syph.screen.hivpos.rate,0.01492537,numeric,,,,,Rate per time step for asymptomatic syphilis screening for MSM diagnosed with HIV.(TUITE 2020)
syph.cond.eff.or,0.7,numeric,8.2,,,,Odds ratio comparing the odds of Syph infection from anal sex when a condom is used properly vs. not used (biological efficacy). https://pmc.ncbi.nlm.nih.gov/articles/PMC4660551/#sec1-4
